scenariusz,metryka,platforma,ses_04,ses_05,ses_06
S1,STARTUP_MS,IONIC,"456,1","453,4","449,1"
S1,STARTUP_MS,REACT_NATIVE,"569,7","569,0","580,2"
S2,STARTUP_MS,IONIC,"458,3","464,7","465,0"
S2,STARTUP_MS,REACT_NATIVE,"802,2","579,3","576,4"
S2,UI_RESPONSE_MS,IONIC,"149,2","148,4","148,8"
S2,UI_RESPONSE_MS,REACT_NATIVE,"117,6","116,4","115,2"
S3,API_REQUEST_MS,IONIC,"40,5","37,0","35,0"
S3,API_REQUEST_MS,REACT_NATIVE,"50,5","49,5","50,4"
S3,RENDER_CHECKOUT_MS,IONIC,"67,8","63,2","61,9"
S3,RENDER_CHECKOUT_MS,REACT_NATIVE,"88,3","92,0","88,6"
S3,RENDER_ORDERS_MS,IONIC,"29,8","30,2","30,4"
S3,RENDER_ORDERS_MS,REACT_NATIVE,"80,3","77,3","74,9"
S3,REQUEST_BUILD_MS,IONIC,"0,0","0,0","0,0"
S3,REQUEST_BUILD_MS,REACT_NATIVE,"0,0","0,0","0,0"
S3,STARTUP_MS,IONIC,"471,7","471,9","435,5"
S3,STARTUP_MS,REACT_NATIVE,"656,7","622,1","548,3"
S3,UI_RESPONSE_MS,IONIC,"152,9","149,8","150,1"
S3,UI_RESPONSE_MS,REACT_NATIVE,"114,8","130,6","130,3"
