sesja,scenariusz,metryka,platforma,liczba,iteracje,zakres,mediana_bloku
ses_04,S1,STARTUP_MS,IONIC,1,1,1004–1004,456.1
ses_04,S1,STARTUP_MS,REACT_NATIVE,1,24,770–770,569.7
ses_04,S2,UI_RESPONSE_MS,IONIC,1,1,282–282,149.2
ses_04,S3,API_REQUEST_MS,IONIC,2,"1, 22",61–95,40.5
ses_04,S3,API_REQUEST_MS,REACT_NATIVE,9,"5, 11, 12, 14, 17, 22, 23, 24, 27",66–69,50.5
ses_04,S3,RENDER_ORDERS_MS,REACT_NATIVE,1,13,102–102,80.3
ses_04,S3,UI_RESPONSE_MS,IONIC,1,1,289–289,152.9
ses_04,S3,UI_RESPONSE_MS,REACT_NATIVE,3,"4, 16, 26",147–150,114.8
ses_05,S2,UI_RESPONSE_MS,IONIC,1,1,296–296,148.4
ses_05,S2,UI_RESPONSE_MS,REACT_NATIVE,1,8,147–147,116.4
ses_05,S3,API_REQUEST_MS,IONIC,1,1,62–62,37.0
ses_05,S3,API_REQUEST_MS,REACT_NATIVE,6,"3, 8, 9, 13, 25, 30",65–82,49.5
ses_05,S3,RENDER_CHECKOUT_MS,IONIC,1,1,89–89,63.2
ses_05,S3,UI_RESPONSE_MS,IONIC,1,1,298–298,149.8
ses_06,S2,UI_RESPONSE_MS,IONIC,2,"1, 8",200–285,148.8
ses_06,S2,UI_RESPONSE_MS,REACT_NATIVE,1,25,151–151,115.2
ses_06,S3,API_REQUEST_MS,IONIC,2,"1, 19",56–76,35.0
ses_06,S3,API_REQUEST_MS,REACT_NATIVE,8,"7, 10, 14, 15, 17, 24, 27, 28",65–69,50.4
ses_06,S3,RENDER_CHECKOUT_MS,IONIC,2,"1, 2",83–94,61.9
ses_06,S3,RENDER_CHECKOUT_MS,REACT_NATIVE,1,15,119–119,88.6
ses_06,S3,RENDER_ORDERS_MS,IONIC,1,27,44–44,30.4
ses_06,S3,RENDER_ORDERS_MS,REACT_NATIVE,1,8,118–118,74.9
ses_06,S3,UI_RESPONSE_MS,IONIC,1,1,287–287,150.1
ses_06,S3,UI_RESPONSE_MS,REACT_NATIVE,1,25,164–164,130.3
