sesja,scenariusz,metryka,platforma,liczba,iteracje,zakres,mediana_bloku
ses_01,S1,STARTUP_MS,IONIC,2,"1, 26",737–1108,578.2
ses_01,S1,STARTUP_MS,REACT_NATIVE,5,"14, 15, 16, 17, 18",898–1495,613.2
ses_01,S2,UI_RESPONSE_MS,IONIC,2,"1, 19",209–307,157.3
ses_01,S2,UI_RESPONSE_MS,REACT_NATIVE,1,30,215–215,121.8
ses_01,S3,API_REQUEST_MS,IONIC,2,"6, 12",66–96,35.1
ses_01,S3,API_REQUEST_MS,REACT_NATIVE,1,30,100–100,58.5
ses_01,S3,RENDER_CHECKOUT_MS,IONIC,2,"1, 16",102–111,69.8
ses_01,S3,RENDER_CHECKOUT_MS,REACT_NATIVE,2,"8, 10",119–123,89.5
ses_01,S3,RENDER_ORDERS_MS,IONIC,2,"16, 19",49–55,32.0
ses_01,S3,UI_RESPONSE_MS,IONIC,1,1,346–346,156.5
ses_01,S3,UI_RESPONSE_MS,REACT_NATIVE,2,"15, 24",147–153,115.1
ses_02,S1,STARTUP_MS,IONIC,1,21,1073–1073,576.6
ses_02,S1,STARTUP_MS,REACT_NATIVE,4,"1, 7, 12, 20",786–838,586.2
ses_02,S2,UI_RESPONSE_MS,IONIC,1,1,301–301,151.2
ses_02,S3,API_REQUEST_MS,REACT_NATIVE,5,"3, 5, 11, 20, 30",66–82,50.0
ses_02,S3,RENDER_ORDERS_MS,IONIC,2,"27, 28",44–48,30.4
ses_02,S3,RENDER_ORDERS_MS,REACT_NATIVE,1,20,119–119,72.9
ses_02,S3,UI_RESPONSE_MS,IONIC,2,"1, 3",217–291,158.1
ses_03,S1,STARTUP_MS,IONIC,2,"7, 8",796–1320,589.0
ses_03,S2,UI_RESPONSE_MS,IONIC,1,1,335–335,158.6
ses_03,S2,UI_RESPONSE_MS,REACT_NATIVE,2,"11, 16",144–150,115.0
ses_03,S3,API_REQUEST_MS,IONIC,2,"1, 2",54–67,36.2
ses_03,S3,API_REQUEST_MS,REACT_NATIVE,9,"2, 9, 10, 11, 12, 20, 23, 25, 27",66–94,50.6
ses_03,S3,RENDER_CHECKOUT_MS,REACT_NATIVE,3,"7, 8, 11",111–127,88.2
ses_03,S3,RENDER_ORDERS_MS,REACT_NATIVE,2,"16, 28",122–147,79.6
ses_03,S3,UI_RESPONSE_MS,IONIC,2,"1, 12",232–384,161.4
ses_03,S3,UI_RESPONSE_MS,REACT_NATIVE,3,"7, 17, 29",151–164,115.0
