scenariusz,metryka,platforma,ses_01,ses_02,ses_03
S1,STARTUP_MS,IONIC,"578,2","576,6","589,0"
S1,STARTUP_MS,REACT_NATIVE,"613,2","586,2","580,1"
S2,STARTUP_MS,IONIC,"1305,9","542,2","557,6"
S2,STARTUP_MS,REACT_NATIVE,"660,3","733,8","669,0"
S2,UI_RESPONSE_MS,IONIC,"157,3","151,2","158,6"
S2,UI_RESPONSE_MS,REACT_NATIVE,"121,8","118,4","115,0"
S3,API_REQUEST_MS,IONIC,"35,1","34,0","36,2"
S3,API_REQUEST_MS,REACT_NATIVE,"58,5","50,0","50,6"
S3,RENDER_CHECKOUT_MS,IONIC,"69,8","68,7","69,0"
S3,RENDER_CHECKOUT_MS,REACT_NATIVE,"89,5","89,7","88,2"
S3,RENDER_ORDERS_MS,IONIC,"32,0","30,4","31,8"
S3,RENDER_ORDERS_MS,REACT_NATIVE,"79,2","72,9","79,6"
S3,REQUEST_BUILD_MS,IONIC,"0,0","0,0","0,0"
S3,REQUEST_BUILD_MS,REACT_NATIVE,"0,0","0,0","0,0"
S3,STARTUP_MS,IONIC,"552,6","590,1","876,2"
S3,STARTUP_MS,REACT_NATIVE,"622,0","713,0","916,2"
S3,UI_RESPONSE_MS,IONIC,"156,5","158,1","161,4"
S3,UI_RESPONSE_MS,REACT_NATIVE,"115,1","115,6","115,0"
