run_id,platform,device_model,os_version,build_type,app_version,scenario,metric,iteration,value,unit,server_ms,recorded_at
run_1788714025977,REACT_NATIVE,2409BRN2CY,android 36,RELEASE,1.0.0,S1,STARTUP_MS,1,626.395,ms,19.496,2026-09-06T17:00:26.438Z
run_1788713908589,REACT_NATIVE,2409BRN2CY,android 36,RELEASE,1.0.0,S1,STARTUP_MS,1,559.204,ms,23.488,2026-09-06T16:58:28.977Z
run_1788713917532,REACT_NATIVE,2409BRN2CY,android 36,RELEASE,1.0.0,S1,STARTUP_MS,1,622.27,ms,22.654,2026-09-06T16:58:37.987Z
run_1788713926101,REACT_NATIVE,2409BRN2CY,android 36,RELEASE,1.0.0,S1,STARTUP_MS,1,582.911,ms,22.385,2026-09-06T16:58:46.525Z
run_1788713934800,REACT_NATIVE,2409BRN2CY,android 36,RELEASE,1.0.0,S1,STARTUP_MS,1,600.582,ms,19.675,2026-09-06T16:58:55.236Z
run_1788713944102,REACT_NATIVE,2409BRN2CY,android 36,RELEASE,1.0.0,S1,STARTUP_MS,1,585.069,ms,6.446,2026-09-06T16:59:04.506Z
run_1788713954140,REACT_NATIVE,2409BRN2CY,android 36,RELEASE,1.0.0,S1,STARTUP_MS,1,548.977,ms,6.743,2026-09-06T16:59:14.523Z
run_1788713963201,REACT_NATIVE,2409BRN2CY,android 36,RELEASE,1.0.0,S1,STARTUP_MS,1,567.403,ms,20.154,2026-09-06T16:59:23.604Z
run_1788713971445,REACT_NATIVE,2409BRN2CY,android 36,RELEASE,1.0.0,S1,STARTUP_MS,1,628.379,ms,18.262,2026-09-06T16:59:31.864Z
run_1788713981304,REACT_NATIVE,2409BRN2CY,android 36,RELEASE,1.0.0,S1,STARTUP_MS,1,568.995,ms,19.191,2026-09-06T16:59:41.715Z
run_1788713990286,REACT_NATIVE,2409BRN2CY,android 36,RELEASE,1.0.0,S1,STARTUP_MS,1,628.314,ms,10.425,2026-09-06T16:59:50.706Z
run_1788713998665,REACT_NATIVE,2409BRN2CY,android 36,RELEASE,1.0.0,S1,STARTUP_MS,1,557.457,ms,9.524,2026-09-06T16:59:59.061Z
run_1788714008231,REACT_NATIVE,2409BRN2CY,android 36,RELEASE,1.0.0,S1,STARTUP_MS,1,594.73,ms,18.586,2026-09-06T17:00:08.667Z
run_1788714017200,REACT_NATIVE,2409BRN2CY,android 36,RELEASE,1.0.0,S1,STARTUP_MS,1,813.178,ms,18.559,2026-09-06T17:00:17.801Z
run_1788716007949,REACT_NATIVE,2409BRN2CY,android 36,RELEASE,1.0.0,S1,STARTUP_MS,1,1378.706,ms,29.13,2026-09-06T17:33:29.102Z
run_1788714035828,REACT_NATIVE,2409BRN2CY,android 36,RELEASE,1.0.0,S1,STARTUP_MS,1,556.051,ms,12.41,2026-09-06T17:00:36.225Z
run_1788714044918,REACT_NATIVE,2409BRN2CY,android 36,RELEASE,1.0.0,S1,STARTUP_MS,1,556.401,ms,9.258,2026-09-06T17:00:45.296Z
run_1788714053976,REACT_NATIVE,2409BRN2CY,android 36,RELEASE,1.0.0,S1,STARTUP_MS,1,573.017,ms,20.254,2026-09-06T17:00:54.385Z
run_1788714062788,REACT_NATIVE,2409BRN2CY,android 36,RELEASE,1.0.0,S1,STARTUP_MS,1,595.324,ms,7.228,2026-09-06T17:01:03.189Z
run_1788714071787,REACT_NATIVE,2409BRN2CY,android 36,RELEASE,1.0.0,S1,STARTUP_MS,1,604.799,ms,22.009,2026-09-06T17:01:12.221Z
run_1788714080333,REACT_NATIVE,2409BRN2CY,android 36,RELEASE,1.0.0,S1,STARTUP_MS,1,580.379,ms,14.203,2026-09-06T17:01:20.750Z
run_1788714089719,REACT_NATIVE,2409BRN2CY,android 36,RELEASE,1.0.0,S1,STARTUP_MS,1,610.769,ms,20.471,2026-09-06T17:01:30.135Z
run_1788714099286,REACT_NATIVE,2409BRN2CY,android 36,RELEASE,1.0.0,S1,STARTUP_MS,1,569.849,ms,18.585,2026-09-06T17:01:39.683Z
run_1788714108016,REACT_NATIVE,2409BRN2CY,android 36,RELEASE,1.0.0,S1,STARTUP_MS,1,566.194,ms,17.066,2026-09-06T17:01:48.407Z
run_1788714116698,REACT_NATIVE,2409BRN2CY,android 36,RELEASE,1.0.0,S1,STARTUP_MS,1,711.364,ms,16.364,2026-09-06T17:01:57.214Z
run_1788714126660,REACT_NATIVE,2409BRN2CY,android 36,RELEASE,1.0.0,S1,STARTUP_MS,1,525.66,ms,10.766,2026-09-06T17:02:07.024Z
run_1788714135347,REACT_NATIVE,2409BRN2CY,android 36,RELEASE,1.0.0,S1,STARTUP_MS,1,577.046,ms,24.622,2026-09-06T17:02:15.758Z
run_1788714144279,REACT_NATIVE,2409BRN2CY,android 36,RELEASE,1.0.0,S1,STARTUP_MS,1,656.736,ms,16.019,2026-09-06T17:02:24.745Z
run_1788714153256,REACT_NATIVE,2409BRN2CY,android 36,RELEASE,1.0.0,S1,STARTUP_MS,1,594.157,ms,12.762,2026-09-06T17:02:33.641Z
run_1788714161839,REACT_NATIVE,2409BRN2CY,android 36,RELEASE,1.0.0,S1,STARTUP_MS,1,565.845,ms,17.742,2026-09-06T17:02:42.238Z
run_1788714237862,REACT_NATIVE,2409BRN2CY,android 36,RELEASE,1.0.0,S1,STARTUP_MS,1,687.054,ms,49.988,2026-09-06T17:03:58.303Z
run_1788713897595,REACT_NATIVE,2409BRN2CY,android 36,RELEASE,1.0.0,S1,STARTUP_MS,1,627.543,ms,48.697,2026-09-06T16:58:18.043Z
run_1788716007949,REACT_NATIVE,2409BRN2CY,android 36,RELEASE,1.0.0,S2,UI_RESPONSE_MS,1,99.772,ms,5.216,2026-09-06T17:33:50.334Z
run_1788714237862,REACT_NATIVE,2409BRN2CY,android 36,RELEASE,1.0.0,S2,UI_RESPONSE_MS,1,98.821,ms,8.718,2026-09-06T17:04:02.249Z
run_1788714237862,REACT_NATIVE,2409BRN2CY,android 36,RELEASE,1.0.0,S2,UI_RESPONSE_MS,2,116.201,ms,8.509,2026-09-06T17:04:10.395Z
run_1788716007949,REACT_NATIVE,2409BRN2CY,android 36,RELEASE,1.0.0,S2,UI_RESPONSE_MS,2,116.155,ms,4.817,2026-09-06T17:34:08.422Z
run_1788714237862,REACT_NATIVE,2409BRN2CY,android 36,RELEASE,1.0.0,S2,UI_RESPONSE_MS,3,115.489,ms,18.222,2026-09-06T17:04:17.939Z
run_1788716007949,REACT_NATIVE,2409BRN2CY,android 36,RELEASE,1.0.0,S2,UI_RESPONSE_MS,3,115.845,ms,11.313,2026-09-06T17:34:26.026Z
run_1788714237862,REACT_NATIVE,2409BRN2CY,android 36,RELEASE,1.0.0,S2,UI_RESPONSE_MS,4,98.043,ms,12.422,2026-09-06T17:04:25.366Z
run_1788716007949,REACT_NATIVE,2409BRN2CY,android 36,RELEASE,1.0.0,S2,UI_RESPONSE_MS,4,106.533,ms,6.308,2026-09-06T17:34:43.614Z
run_1788714237862,REACT_NATIVE,2409BRN2CY,android 36,RELEASE,1.0.0,S2,UI_RESPONSE_MS,5,130.917,ms,14.428,2026-09-06T17:04:33.695Z
run_1788716007949,REACT_NATIVE,2409BRN2CY,android 36,RELEASE,1.0.0,S2,UI_RESPONSE_MS,5,117.324,ms,9.08,2026-09-06T17:35:02.203Z
